user_id,content,status,end_date
6853aebf690a71fa9ad4b6e3,고객 응대,Done,2025-06-24
6853aebf690a71fa9ad4b6e3,고객 응대,To do,2025-06-23
6853aebf690a71fa9ad4b6e3,설계 문서 검토,In Progress,2025-06-23
6853aebf690a71fa9ad4b6e3,기능 테스트,In Progress,2025-06-08
6853aebf690a71fa9ad4b6e3,문서 작성,In Progress,2025-06-18
6853aebf690a71fa9ad4b6e3,시연 준비,To do,2025-07-01
6853aebf690a71fa9ad4b6e3,오류 수정,In Progress,2025-06-09
6853aebf690a71fa9ad4b6e3,데이터 분석,Done,2025-06-21
6853aebf690a71fa9ad4b6e3,시연 준비,To do,2025-06-19
6853aebf690a71fa9ad4b6e3,오류 수정,To do,2025-06-29
6854be67f50a270da74cb6d3,회식 준비,To do,2025-06-07
6854be67f50a270da74cb6d3,설계 문서 검토,In Progress,2025-06-28
6854be67f50a270da74cb6d3,업무 공유,Done,2025-06-27
6854be67f50a270da74cb6d3,데이터 분석,To do,2025-06-08
6854be67f50a270da74cb6d3,일정 조율,In Progress,2025-06-05
6854be67f50a270da74cb6d3,메일 확인,In Progress,2025-06-19
6854be67f50a270da74cb6d3,메일 확인,Done,2025-06-07
6854be67f50a270da74cb6d3,문서 작성,In Progress,2025-06-20
6854be67f50a270da74cb6d3,회식 준비,In Progress,2025-06-11
6854be67f50a270da74cb6d3,회식 준비,To do,2025-06-05
685cc3fc7163cce7db1fd18f,코드 리뷰,In Progress,2025-06-26
685cc3fc7163cce7db1fd18f,문서 작성,Done,2025-06-16
685cc3fc7163cce7db1fd18f,시연 준비,In Progress,2025-06-14
685cc3fc7163cce7db1fd18f,시연 준비,Done,2025-06-10
685cc3fc7163cce7db1fd18f,자료 정리,In Progress,2025-06-30
685cc3fc7163cce7db1fd18f,사내 교육,To do,2025-06-18
685cc3fc7163cce7db1fd18f,기능 테스트,To do,2025-06-03
685cc3fc7163cce7db1fd18f,회의록 작성,Done,2025-06-17
685cc3fc7163cce7db1fd18f,보고서 작성,In Progress,2025-06-10
685cc3fc7163cce7db1fd18f,시연 준비,In Progress,2025-07-01
685df192a2cd54b0683ea343,시연 준비,Done,2025-06-15
