title,description,start_date,end_date,status,client,project_manager
프로젝트 1번,1번 프로젝트에 대한 설명입니다.,2025-05-18,2025-07-22,진행중,클라이언트 1,685df192a2cd54b0683ea34c
프로젝트 2번,2번 프로젝트에 대한 설명입니다.,2025-03-17,2025-04-22,진행 대기,클라이언트 2,685df192a2cd54b0683ea344
프로젝트 3번,3번 프로젝트에 대한 설명입니다.,2025-05-26,2025-07-29,완료,클라이언트 3,685df192a2cd54b0683ea392
프로젝트 4번,4번 프로젝트에 대한 설명입니다.,2025-01-22,2025-03-16,완료,클라이언트 4,685df192a2cd54b0683ea35c
프로젝트 5번,5번 프로젝트에 대한 설명입니다.,2025-03-20,2025-05-17,진행 대기,클라이언트 5,685df192a2cd54b0683ea39b
프로젝트 6번,6번 프로젝트에 대한 설명입니다.,2025-04-18,2025-06-06,진행중,클라이언트 6,685df192a2cd54b0683ea37f
프로젝트 7번,7번 프로젝트에 대한 설명입니다.,2025-02-21,2025-04-29,완료,클라이언트 7,685df192a2cd54b0683ea39f
프로젝트 8번,8번 프로젝트에 대한 설명입니다.,2025-02-18,2025-04-01,완료,클라이언트 8,685df192a2cd54b0683ea35c
프로젝트 9번,9번 프로젝트에 대한 설명입니다.,2025-02-04,2025-04-17,완료,클라이언트 9,685df192a2cd54b0683ea36a
프로젝트 10번,10번 프로젝트에 대한 설명입니다.,2025-06-28,2025-08-05,진행중,클라이언트 10,685df192a2cd54b0683ea363
프로젝트 11번,11번 프로젝트에 대한 설명입니다.,2025-01-24,2025-04-06,진행 대기,클라이언트 11,685df192a2cd54b0683ea380
프로젝트 12번,12번 프로젝트에 대한 설명입니다.,2025-02-08,2025-04-06,진행 대기,클라이언트 12,685df192a2cd54b0683ea353
프로젝트 13번,13번 프로젝트에 대한 설명입니다.,2025-01-19,2025-02-27,완료,클라이언트 13,685df192a2cd54b0683ea363
프로젝트 14번,14번 프로젝트에 대한 설명입니다.,2025-01-30,2025-03-31,진행 대기,클라이언트 14,685df192a2cd54b0683ea363
프로젝트 15번,15번 프로젝트에 대한 설명입니다.,2025-05-14,2025-06-27,진행중,클라이언트 15,685df192a2cd54b0683ea356
프로젝트 16번,16번 프로젝트에 대한 설명입니다.,2025-03-20,2025-05-23,완료,클라이언트 16,685cc3fc7163cce7db1fd18f
프로젝트 17번,17번 프로젝트에 대한 설명입니다.,2025-04-01,2025-05-25,진행 대기,클라이언트 17,685df192a2cd54b0683ea363
프로젝트 18번,18번 프로젝트에 대한 설명입니다.,2025-02-20,2025-03-31,완료,클라이언트 18,6853aebf690a71fa9ad4b6e3
프로젝트 19번,19번 프로젝트에 대한 설명입니다.,2025-03-24,2025-05-02,진행중,클라이언트 19,685df192a2cd54b0683ea358
프로젝트 20번,20번 프로젝트에 대한 설명입니다.,2025-02-05,2025-04-04,진행중,클라이언트 20,685df192a2cd54b0683ea39b
프로젝트 21번,21번 프로젝트에 대한 설명입니다.,2025-06-23,2025-09-20,진행 대기,클라이언트 21,6853aebf690a71fa9ad4b6e3
프로젝트 22번,22번 프로젝트에 대한 설명입니다.,2025-02-19,2025-03-21,진행 대기,클라이언트 22,685df192a2cd54b0683ea39f
프로젝트 23번,23번 프로젝트에 대한 설명입니다.,2025-03-23,2025-05-11,진행중,클라이언트 23,685df192a2cd54b0683ea358
프로젝트 24번,24번 프로젝트에 대한 설명입니다.,2025-02-12,2025-03-14,완료,클라이언트 24,685df192a2cd54b0683ea358
